"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Info"
"180","0.989461","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"181","0.989529","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e2c) [Reassembled in #182]"
"182","0.989529","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"183","0.989581","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e2e) [Reassembled in #184]"
"184","0.989581","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"185","0.989962","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e30) [Reassembled in #186]"
"186","0.989962","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"187","0.990191","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e32) [Reassembled in #188]"
"188","0.990191","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"189","0.990253","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e34) [Reassembled in #190]"
"190","0.990253","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"191","0.990308","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e36) [Reassembled in #192]"
"192","0.990308","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"193","0.990358","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e38) [Reassembled in #194]"
"194","0.990358","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"195","0.991249","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e3a) [Reassembled in #196]"
"196","0.991249","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"197","0.991350","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e3c) [Reassembled in #198]"
"198","0.991350","192.168.0.8","73.85.80.81","UDP","58","","54222  >  6881 Len=1472"
"199","1.082429","192.168.0.8","65.254.150.144","BT-DHT","146","","Get_peers Info_hash=ae716c152709d8a5a07dac807deecfdcc255faef"
"200","1.097265","188.95.54.54","192.168.0.8","TCP","66","0","[TCP Dup ACK 151#1] 4000  >  16992 [ACK] Seq=1 Ack=5 Win=63 Len=0 SLE=1 SRE=5"
"201","1.144122","192.168.0.8","41.182.4.180","IPv4","1506","","Fragmented IP protocol (proto=UDP 17, off=0, ID=c035) [Reassembled in #202]"
"202","1.144122","192.168.0.8","41.182.4.180","UDP","42","","6881  >  31594 Len=1472"
"203","1.159692","fe80::1011:78a9:9755:a683","ff02::16","ICMPv6","150","","Multicast Listener Report Message v2"
"204","1.163435","fe80::1011:78a9:9755:a683","ff02::16","ICMPv6","150","","Multicast Listener Report Message v2"
"205","1.163435","154.62.191.147","192.168.0.8","UDP","62","","36463  >  6881 Len=20"
"206","1.163776","192.168.0.8","154.62.191.147","UDP","62","","6881  >  36463 Len=20"
"207","1.254768","73.85.80.81","192.168.0.8","UDP","148","","6881  >  54222 Len=106"
"208","1.254768","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"209","1.254768","73.85.80.81","192.168.0.8","UDP","62","","6881  >  54222 Len=20"
"210","1.254946","192.168.0.8","73.85.80.81","IPv4","1490","","Fragmented IP protocol (proto=UDP 17, off=0, ID=7e3e) [Reassembled in #211]"
